Año;PIB;Emisiones
2000; 99.886.577.331 ;1,670563214
2001; 98.211.749.596 ;1,432583644
2002; 97.963.003.805 ;1,469090371
2003; 94.641.378.693 ;1,454691574
2004; 117.000.000.000 ;1,380538199
2005; 146.000.000.000 ;1,350404321
2006; 162.000.000.000 ;1,336155119
2007; 206.000.000.000 ;1,357868253
2008; 242.000.000.000 ;1,336083245
2009; 232.000.000.000 ;1,353300572
2010; 287.000.000.000 ;1,355779866
2011; 335.000.000.000 ;1,406925677
2012; 371.000.000.000 ;1,430255191
2013; 382.000.000.000 ;1,531007322
2014; 381.000.000.000 ;1,525532286
2015; 293.000.000.000 ;1,673065423
2016; 283.000.000.000 ;1,699465586
2017; 312.000.000.000 ;1,705152834
2018; 334.000.000.000 ;1,738659399
2019; 323.000.000.000 ;1,555106166
2020; 271.000.000.000 ;1,600650618
