Categoria;PromedioA
1901;24,31
1902;24,21
1903;24,23
1904;24,24
1905;24,17
1906;24,18
1907;24,26
1908;24,16
1909;24,21
1910;24,21
1911;24,24
1912;24,19
1913;24,29
1914;24,21
1915;24,61
1916;24,43
1917;24,22
1918;24,18
1919;24,21
1920;24,21
1921;24,06
1922;23,97
1923;24,08
1924;24,22
1925;24,01
1926;24,54
1927;24,08
1928;24,22
1929;24,25
1930;24,33
1931;24,54
1932;24,30
1933;24,31
1934;24,32
1935;24,31
1936;24,56
1937;24,43
1938;24,25
1939;24,31
1940;24,59
1941;25,06
1942;24,40
1943;24,20
1944;24,23
1945;24,25
1946;24,30
1947;24,58
1948;24,51
1949;24,19
1950;23,81
1951;24,30
1952;24,45
1953;24,43
1954;23,97
1955;23,99
1956;24,02
1957;24,57
1958;25,03
1959;24,67
1960;24,55
1961;24,57
1962;24,47
1963;24,64
1964;24,34
1965;24,39
1966;24,51
1967;24,10
1968;24,11
1969;24,67
1970;24,36
1971;23,83
1972;24,49
1973;24,39
1974;23,83
1975;23,78
1976;23,99
1977;24,51
1978;24,39
1979;24,46
1980;24,67
1981;24,41
1982;24,52
1983;25,08
1984;24,20
1985;24,20
1986;24,33
1987;24,88
1988;24,41
1989;24,13
1990;24,55
1991;24,65
1992;24,77
1993;24,60
1994;24,56
1995;24,77
1996;24,43
1997;24,84
1998;25,13
1999;24,27
2000;24,23
2001;24,64
2002;24,80
2003;24,89
2004;24,67
2005;24,77
2006;24,62
2007;24,55
2008;24,31
2009;24,78
2010;24,98
2011;24,63
2012;24,79
2013;24,98
2014;25,10
2015;25,43
2016;25,48
2017;24,90
2018;24,82
2019;25,22
2020;25,13
