Año;ColombiaU;ColombiaT;VenezuelaU;VenezuelaT
1960;7429583;16057714;5016431;8141839
1961;7903180;16567817;5306185;8439261
1962;8399973;17092919;5589522;8742780
1963;8917948;17629978;5882129;9052632
1964;9456005;18175187;6184450;9369101
1965;9890673;18725242;6495961;9692281
1966;10331431;19279734;6817568;10022592
1967;10782082;19837508;7148739;10359741
1968;11240398;20393704;7488707;10702281
1969;11702014;20942453;7835423;11048256
1970;12165234;21480064;8188538;11396396
1971;12628086;22003983;8546825;11745952
1972;13091727;22516429;8900880;12097696
1973;13559135;23024512;9256219;12453709
1974;14030528;23538390;9620790;12816954
1975;14512942;24065502;9995803;13189511
1976;15011680;24608102;10382198;13572210
1977;15524762;25164544;10778963;13964377
1978;16052405;25733669;11185525;14364726
1979;16593238;26312996;11600321;14771270
1980;17145846;26900508;12022354;15182616
1981;17710015;27496608;12450226;15597878
1982;18286700;28101824;12875243;16017570
1983;18874694;28714183;13303642;16443128
1984;19472124;29331230;13741349;16876703
1985;20077483;29951194;14189011;17319513
1986;20656601;30572479;14647327;17772000
1987;21228793;31195417;15114936;18232733
1988;21808614;31822527;15589605;18698850
1989;22398270;32457497;16067830;19166474
1990;22999996;33102569;16547195;19632665
1991;23613613;33758328;17014343;20096314
1992;24238651;34422568;17476507;20557694
1993;24870588;35091272;17938344;21016900
1994;25506164;35758978;18400685;21474553
1995;26142216;36421438;18863805;21931087
1996;26777679;37076387;19326875;22385650
1997;27410870;37723803;19788904;22837743
1998;28043541;38364307;20251505;23288567
1999;28676309;38999468;20715855;23739835
2000;29309133;39629965;21182666;24192449
2001;29941978;40255956;21651925;24646471
2002;30573545;40875363;22057234;25100407
2003;31200435;41483872;22460389;25551624
2004;31817836;42075953;22858285;25996594
2005;32422511;42647731;23248393;26432445
2006;33015425;43200901;23622797;26850190
2007;33597407;43737512;23979524;27247601
2008;34166609;44254972;24328095;27635827
2009;34720224;44750054;24683266;28031010
2010;35257425;45222699;25050754;28439942
2011;35769913;45662747;25452527;28887873
2012;36262053;46075721;25873642;29360827
2013;36759801;46495492;26246929;29781046
2014;37299404;46967706;26481078;30042973
2015;37904385;47520667;26518334;30081827
2016;38592067;48175048;26318354;29851249
2017;39346013;48909844;25927989;29402480
2018;40115208;49661056;25480748;28887117
2019;40827302;50339443;25162368;28515829
2020;41431388;50882884;25102966;28435943
